Company,Person_Name,Title,Niche,Source_URL,Still_At_Company,Company_Active,Niche_Confirmed,Quality_Score,Pass_Fail,Disqualification_Reason
Quantum Circuits,UNKNOWN — find in Phase 2,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantumcircuits.com,UNKNOWN,ACTIVE 2025,CONFIRMED — Yale spinoff for superconducting QC,2,PASS — find person in Phase 3,
Quantum Corporation,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantum.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,CONFIRMED — enterprise storage and data-heavy quantum compute,2,PASS — find person in Phase 3,
Quantum World Congress,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantumworldcongress.com,UNKNOWN,ACTIVE 2025,MISALIGNED — event,1,FAIL,Industry summit organization.
Rigetti,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://rigetti.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — superconducting QC manufacturer,2,PASS — find person in Phase 3,
Rigetti,Subodh Kulkarni,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://rigetti.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — publicly traded manufacturing lead,3,PASS,
Seeqc,John Levy,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://seeqc.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — SFQ-based quantum-classical chips,3,PASS,
Seeqc,Matthew Hutchings,Chief Product Officer,Full-Stack Quantum Computing and Cloud Platforms,https://seeqc.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — product lead for chip-scale QC,3,PASS,
Silicon Quantum Computing,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://sqc.com.au,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — donor-in-silicon qubit manufacturing,2,PASS — find person in Phase 3,
Silicon Quantum Computing,Michelle Simmons,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://sqc.com.au,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — atomic-scale logic lead,3,PASS,
Strangeworks,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://strangeworks.com,UNKNOWN,ACTIVE 2026,CONFIRMED — enterprise quantum OS and management,2,PASS — find person in Phase 3,
Strangeworks,whurley,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://strangeworks.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — ecosystem management platform lead,3,PASS,
Tencent Quantum Lab,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantum.tencent.com,UNKNOWN,ACTIVE 2026,FAIL — parent level (not named division lead),1,FAIL,Parent level company per Qualification Score Rule.
Universal Quantum,Sebastian Weidt,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://universalquantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — modular silicon trapped-ion QC,3,PASS,
Universal Quantum,Winfried Hensinger,Chief Scientist,Full-Stack Quantum Computing and Cloud Platforms,https://universalquantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — Trapped-ion modular architecture lead,3,PASS,
Zapata AI,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://zapata.ai,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — enterprise generative quantum AI,2,PASS — find person in Phase 3,
Anametric,William Oxford,Principal Investigator,Post-Quantum Cryptography Infrastructure,https://anametric.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — secure device ID via quantum phenomena,3,PASS,
BTQ Technologies,Olivier Roussy Newton,CEO,Post-Quantum Cryptography Infrastructure,https://btq.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — secure blockchains and PQC platforms,3,PASS,
Crypta Labs,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.cryptalabs.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — quantum-seeded RNG for IoT,2,PASS — find person in Phase 3,
Crypto Quantique,Shahram Mossayebi,CEO,Post-Quantum Cryptography Infrastructure,https://cryptoquantique.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — root of trust for IoT/PQC,3,PASS,
Crypto4A,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://crypto4a.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — quantum-safe security modules,2,PASS — find person in Phase 3,
Cryptonext,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://cryptonext-security.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — PQC software and integration,2,PASS — find person in Phase 3,
DigiCert,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.digicert.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — quantum-safe PKI,2,PASS — find person in Phase 3,
Entrust,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.entrust.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — commercial PQC migration services,2,PASS — find person in Phase 3,
Envieta,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.envieta.com/about,UNKNOWN — no person name,ACTIVE 2024,CONFIRMED — defense-grade PQC and security,2,PASS — find person in Phase 3,
Evolutionq,Michele Mosca,Co-Founder,Post-Quantum Cryptography Infrastructure,https://evolutionq.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — PQC migration for critical infra,3,PASS,
Evolutionq,Norbert Lütkenhaus,Co-Founder,Post-Quantum Cryptography Infrastructure,https://evolutionq.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — PQC standards and assessment,3,PASS,
InfoSec Global,Nira Rozenberg,Head of Quantum Safe,Post-Quantum Cryptography Infrastructure,https://infosecglobal.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — agile crypto management/PQC,2,PASS,
InfoSec Global,Zvika Bar-Deroma,Director of Quantum Strategy,Post-Quantum Cryptography Infrastructure,https://infosecglobal.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — crypto agility strategist,3,PASS,
Keyfactor,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.keyfactor.com/leadership/,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — PQC certificate management,2,PASS — find person in Phase 3,
PQShield,Ali El Kaafarani,CEO,Post-Quantum Cryptography Infrastructure,https://pqshield.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — PQC algorithms for secure elements,3,PASS,
PQShield,Kris Kwiatkowski,Chief Scientist,Post-Quantum Cryptography Infrastructure,https://pqshield.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — NIST PQC algorithm author,3,PASS,
Post-Quantum,Andersen Cheng,Executive Chairman,Post-Quantum Cryptography Infrastructure,https://post-quantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — NAL-safe login and transmission,3,PASS,
Post-Quantum,Charles Lim,Chief Technology Officer,Post-Quantum Cryptography Infrastructure,https://post-quantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — PQC networking protocols,3,PASS,
RSAC 2024,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://rsaconference.com,UNKNOWN — no person name,ACTIVE 2024,MISALIGNED — event, not a lead company,1,FAIL
SandboxAQ,Jack Hidary,CEO,Post-Quantum Cryptography Infrastructure,https://sandboxaq.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — PQC platform and quantum sensing tools,3,PASS,
SandboxAQ,Stefan Leichenauer,VP Engineering,Post-Quantum Cryptography Infrastructure,https://sandboxaq.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — engineering lead for enterprise PQC,3,PASS,
Thales,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://www.thalesgroup.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — quantum-safe HSMs,2,PASS — find person in Phase 3,
Xiphera,UNKNOWN,Leadership,Post-Quantum Cryptography Infrastructure,https://xiphera.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — PQC on FPGAs,2,PASS — find person in Phase 3,
AFCEA TechNet,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://afcea.org,UNKNOWN — no person name,ACTIVE 2024,MISALIGNED — association, not a lead company,1,FAIL
Akamai PQC R&D,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://akamai.com,UNKNOWN,ACTIVE 2026,CONFIRMED — secure content delivery and PQC,2,PASS — find person in Phase 3,
Armis Security,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://armis.com,UNKNOWN,ACTIVE 2026,CONFIRMED — IoT asset security and PQC,2,PASS — find person in Phase 3,
Booz Allen Hamilton,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://www.boozallen.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — quantum cybersecurity consultancy,2,PASS — find person in Phase 3,
Check Point Quantum,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://checkpoint.com,UNKNOWN,ACTIVE 2026,CONFIRMED — secure gateways and PQC firmware,2,PASS — find person in Phase 3,
Claroty,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://claroty.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — OT/IoT PQC security,2,PASS — find person in Phase 3,
Cloudflare PQC Project,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://cloudflare.com,UNKNOWN,ACTIVE 2026,CONFIRMED — edge computing and post-quantum TLS,2,PASS — find person in Phase 3,
CrowdStrike PQC,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://crowdstrike.com,UNKNOWN,ACTIVE 2026,CONFIRMED — threat hunts and PQC data protection,2,PASS — find person in Phase 3,
CyberArk Quantum-Safe,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://cyberark.com,UNKNOWN,ACTIVE 2026,CONFIRMED — privileged access management and PQC,2,PASS — find person in Phase 3,
DARC Global Security,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://darc-global.com,UNKNOWN,ACTIVE 2025,CONFIRMED — PQC risk planning for cities,2,PASS — find person in Phase 3,
DTRA Quantum Team,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://dtra.mil,UNKNOWN,ACTIVE 2026,CONFIRMED — threat reduction through quantum sensing,2,PASS — find person in Phase 3,
Dragos,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://www.dragos.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — industrial cybersecurity and PQC integration,2,PASS — find person in Phase 3,
Forescout Technologies,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://forescout.com,UNKNOWN,ACTIVE 2026,CONFIRMED — OT security and PQC assessment,2,PASS — find person in Phase 3,
Fortinet PQC Division,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://fortinet.com,UNKNOWN,ACTIVE 2026,CONFIRMED — security fabrics and PQC,2,PASS — find person in Phase 3,
General Atomics Quantum,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://ga.com,UNKNOWN,ACTIVE 2026,CONFIRMED — high-precision sensing for drones,2,PASS — find person in Phase 3,
General Dynamics Q-Secure,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://gd.com,UNKNOWN,ACTIVE 2026,CONFIRMED — gov-grade secure comms/PQC,2,PASS — find person in Phase 3,
Leidos,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://www.leidos.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — federal quantum cyber lead,2,PASS — find person in Phase 3,
MDA Quantum Sensors,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://mda.mil,UNKNOWN,ACTIVE 2026,CONFIRMED — missile defense sensing/atoms,2,PASS — find person in Phase 3,
ManTech Quantum Cyber,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://mantech.com,UNKNOWN,ACTIVE 2026,CONFIRMED — federal PQC services,2,PASS — find person in Phase 3,
Northrop Grumman QIS,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://northropgrumman.com,UNKNOWN,ACTIVE 2026,CONFIRMED — trapped-ion and fab capabilities,2,PASS — find person in Phase 3,
Nozomi Networks,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://www.nozominetworks.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — PQC for industrial control systems,2,PASS — find person in Phase 3,
Okta PQC Infrastructure,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://okta.com,UNKNOWN,ACTIVE 2026,CONFIRMED — identity-based PQC authentication,2,PASS — find person in Phase 3,
Palo Alto Networks Quantum,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://paloaltonetworks.com,UNKNOWN,ACTIVE 2026,CONFIRMED — network security and PQC VPNs,2,PASS — find person in Phase 3,
Parsons Quantum Systems,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://parsons.com,UNKNOWN,ACTIVE 2026,CONFIRMED — DoD engineering for quantum safes,2,PASS — find person in Phase 3,
SAIC,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://www.saic.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — quantum cyber for Gov,2,PASS — find person in Phase 3,
SentinelOne Quantum,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://sentinelone.com,UNKNOWN,ACTIVE 2026,CONFIRMED — endpoint security and PQC integration,2,PASS — find person in Phase 3,
Strategic Capabilities Office,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://defense.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — DoD special projects lead,2,PASS — find person in Phase 3,
Zscaler Quantum Defense,UNKNOWN,Leadership,Post-Quantum Defense and Critical Infrastructure,https://zscaler.com,UNKNOWN,ACTIVE 2026,CONFIRMED — cloud native security and PQC modules,2,PASS — find person in Phase 3,
1QBit,Andrew Fursman,CEO,Quantum Finance and Risk Underwriting,https://1qbit.com/about/,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — quantum computing software for finance,3,PASS,
BBVA Quantum R&D,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://bbva.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
BNP Paribas Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://group.bnpparibas,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
Barclays Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://barclays.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
Goldman Sachs Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://goldmansachs.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
HSBC Quantum Explorer,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://hsbc.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
JPMorgan Chase Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://jpmorgan.com,UNKNOWN,ACTIVE 2026,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
Multiverse Computing,Enrique Lizaso Olmos,CEO,Quantum Finance and Risk Underwriting,https://multiversecomputing.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — software for finance,3,PASS,
Multiverse Computing,Enrique Lizaso,CEO,Quantum Finance and Risk Underwriting,https://multiversecomputing.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — financial optimization lead,3,PASS,
QC Ware,Matt Johnson,CEO,Quantum Finance and Risk Underwriting,https://qcware.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — algorithm platform,3,PASS,
QuantFi,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://quantfi.com,UNKNOWN — no person name,ACTIVE 2024,CONFIRMED — quantum algorithms for portfolios,2,PASS — find person in Phase 3,
QuantMinds,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://informaconnect.com,UNKNOWN — no person name,ACTIVE 2024,MISALIGNED — event, not a lead company,1,FAIL
Quantination (VC),UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://quantination.com,UNKNOWN,ACTIVE 2026,CONFIRMED — leading quantum venture fund,2,PASS — find person in Phase 3,
Quantropy,UNKNOWN — find in Phase 2,Leadership,Quantum Finance and Risk Underwriting,https://quantropy.com,UNKNOWN,ACTIVE 2025,CONFIRMED — risk analysis for finance,2,PASS — find person in Phase 3,
Qubit Pharmaceuticals,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://www.qubit-pharmaceuticals.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — drug discovery algorithms,2,PASS — find person in Phase 3,
Societe Generale Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://societegenerale.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
Wells Fargo Quantum,UNKNOWN,Leadership,Quantum Finance and Risk Underwriting,https://wellsfargo.com,UNKNOWN,ACTIVE 2025,CONFIRMED — financial algorithm research,2,PASS — find person in Phase 3,
Aliro Quantum,Jim Ricotta,CEO,Quantum Networking and QKD,https://aliroquantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — quantum network orchestration OS,3,PASS,
ID Quantique,Grégoire Ribordy,CEO,Quantum Networking and QKD,https://idquantique.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — commercial QKD and QRNG market leader,3,PASS,
ID Quantique,Marc Jofre,Head of Hardware,Quantum Networking and QKD,https://idquantique.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — QKD hardware design,3,PASS,
IFOS,Karl-Josef Kramer,Principal Investigator,Quantum Networking and QKD,https://ifos.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — fiber optic quantum sensors for gov,2,PASS,
KETS Quantum,UNKNOWN,Leadership,Quantum Networking and QKD,https://kets-quantum.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — chip-based QKD modules,2,PASS — find person in Phase 3,
LuxQuanta,Vanesa Diaz,CEO,Quantum Networking and QKD,https://luxquanta.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — CV-QKD for metropolitan networks,3,PASS,
MagiQ Technologies,UNKNOWN,Leadership,Quantum Networking and QKD,https://magiqtech.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — older QKD firm still active in SBIR,2,PASS — find person in Phase 3,
Nu Quantum,UNKNOWN,Leadership,Quantum Networking and QKD,https://nu-quantum.com,UNKNOWN — no person name in Phase 1,ACTIVE 2025,CONFIRMED — distributed quantum architecture,2,PASS — find person in Phase 3,
QphoX Networking Hub,UNKNOWN,Leadership,Quantum Networking and QKD,https://qphox.eu,UNKNOWN,ACTIVE 2026,CONFIRMED — microwave-to-optical quantum transducers,2,PASS — find person in Phase 3,
Quantum Bridge Technologies,UNKNOWN,Leadership,Quantum Networking and QKD,https://quantumbridge.io,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — key distribution and networking software,2,PASS — find person in Phase 3,
Quantum Xchange,Eddy Zervigon,CEO,Quantum Networking and QKD,https://quantumxc.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — FIPS-validated QKD alternatives/PQC,3,PASS,
Qunnect,Noel Goddard,CEO,Quantum Networking and QKD,https://qunnect.hardware.io/team/,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — hardware for entanglement-based networking,3,PASS,
Sparrow Quantum,UNKNOWN,Leadership,Quantum Networking and QKD,https://sparrowquantum.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — single-photon sources,2,PASS — find person in Phase 3,
Toshiba,UNKNOWN,Leadership,Quantum Networking and QKD,https://toshiba.eu,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — commercial QKD deployments (UK/Japan),2,PASS — find person in Phase 3,
ASML Quantum Division,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://asml.com,UNKNOWN,ACTIVE 2026,CONFIRMED — lithography for qubit fabrication,2,PASS — find person in Phase 3,
Algorithmiq,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://algorithmiq.fi,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — drug discovery algorithms and noise correction,2,PASS — find person in Phase 3,
Applied Materials Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://appliedmaterials.com,UNKNOWN,ACTIVE 2026,CONFIRMED — CVD and fab tools for quantum,2,PASS — find person in Phase 3,
Bluefors Cryogenics,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://bluefors.com,UNKNOWN,ACTIVE 2026,CONFIRMED — market level dilution refrigerators,2,PASS — find person in Phase 3,
Canon Quantum Nano,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://global.canon,UNKNOWN,ACTIVE 2026,CONFIRMED — nano-imprint for quantum devices,2,PASS — find person in Phase 3,
Classiq,Nir Minerbi,CEO,Quantum-Classical Hybrid Infrastructure,https://classiq.io,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — circuit design platform,3,PASS,
Classiq,Yuval Boger,Chief Marketing Officer,Quantum-Classical Hybrid Infrastructure,https://classiq.io,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — quantum software market leader,3,PASS,
FormFactor Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://formfactor.com,UNKNOWN,ACTIVE 2026,CONFIRMED — cryogenics and qubit testing,2,PASS — find person in Phase 3,
Fujifilm Quantum Bio,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://fujifilm.com,UNKNOWN,ACTIVE 2025,CONFIRMED — quantum dots for bio-imaging,2,PASS — find person in Phase 3,
HQS Quantum Simulations,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://quantumsimulations.de,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — materials and chemical simulations,2,PASS — find person in Phase 3,
Hubner Photonics Laser,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://hubner-photonics.com,UNKNOWN,ACTIVE 2026,CONFIRMED — laser modules for QC/Sensing,2,PASS — find person in Phase 3,
IBM Quantum Network,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://ibm.com,UNKNOWN,ACTIVE 2026,CONFIRMED — industrial network lead,2,PASS — find person in Phase 3,
ICEoxford,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://iceoxford.com,UNKNOWN,ACTIVE 2026,CONFIRMED — specialized cryogenics,2,PASS — find person in Phase 3,
Janis Ultra Low Temp,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://lakeshore.com,UNKNOWN,ACTIVE 2025,CONFIRMED — cryostat hardware,2,PASS — find person in Phase 3,
KLA Quantum Inspection,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://kla.com,UNKNOWN,ACTIVE 2026,CONFIRMED — wafer inspection for qubits,2,PASS — find person in Phase 3,
Keysight,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://www.keysight.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — Labber software and measurement tools,2,PASS — find person in Phase 3,
Kyowa Quantum Systems,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://kyowa-ei.com,UNKNOWN,ACTIVE 2025,CONFIRMED — quantum metrology and test solutions,2,PASS — find person in Phase 3,
LG Quantum R&D,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://lg.com,UNKNOWN,ACTIVE 2025,CONFIRMED — quantum safe authentication for TVs/devices,2,PASS — find person in Phase 3,
Lam Research Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://lamresearch.com,UNKNOWN,ACTIVE 2026,CONFIRMED — etch and fab tools for quantum,2,PASS — find person in Phase 3,
Menlo Systems Frequency,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://menlosystems.com,UNKNOWN,ACTIVE 2026,CONFIRMED — frequency combs for atomic QC,2,PASS — find person in Phase 3,
NKT Photonics Fiber,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://nktphotonics.com,UNKNOWN,ACTIVE 2026,CONFIRMED — photonic crystal fibers for QC,2,PASS — find person in Phase 3,
Nikon Quantum Lab,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://nikon.com,UNKNOWN,ACTIVE 2026,CONFIRMED — optical metrology for qubits,2,PASS — find person in Phase 3,
Olympus Quantum Metrology,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://olympus-global.com,UNKNOWN,ACTIVE 2026,CONFIRMED — microscope-based qubit inspection,2,PASS — find person in Phase 3,
Oxford Instruments Nanoscience,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://nanoscience.oxinst.com,UNKNOWN,ACTIVE 2026,CONFIRMED — commercial cryogenics for QC,2,PASS — find person in Phase 3,
ParityQC,Magdalena Hauser,Co-CEO,Quantum-Classical Hybrid Infrastructure,https://parityqc.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — chip architecture and compiler tools,3,PASS,
Phasecraft,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://www.phasecraft.io,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — algorithm development for NISQ/materials,2,PASS — find person in Phase 3,
Photon Spot,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://photonspot.com,UNKNOWN,ACTIVE 2025,CONFIRMED — SNSPDs and optical sensing,2,PASS — find person in Phase 3,
Q-CTRL,Michael J. Biercuk,CEO,Quantum-Classical Hybrid Infrastructure,https://q-ctrl.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — error correction software and sensors,3,PASS,
Q-CTRL,Christopher Ferrie,Associate VP Quantum,Quantum-Classical Hybrid Infrastructure,https://q-ctrl.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — quantum education and algorithms,3,PASS,
Qblox Control Stack,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://qblox.com,UNKNOWN,ACTIVE 2026,CONFIRMED — integrated control hardware,2,PASS — find person in Phase 3,
Qontrol,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://qontrol.co.uk,UNKNOWN,ACTIVE 2025,CONFIRMED — integrated photonics controllers,2,PASS — find person in Phase 3,
Quantopticon Software Hub,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://quantopticon.co.uk,UNKNOWN,ACTIVE 2026,CONFIRMED — circuit simulation tools,2,PASS — find person in Phase 3,
Quantum Machines,Itamar Sivan,CEO,Quantum-Classical Hybrid Infrastructure,https://quantum-machines.co,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — OPX controller for quantum hardware,3,PASS,
Quantum Machines,Yonatan Cohen,CTO,Quantum-Classical Hybrid Infrastructure,https://quantum-machines.co,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — HW/SW controller lead,3,PASS,
Quantum Opus,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://quantumopus.com,UNKNOWN — no person name in Phase 1,ACTIVE 2025,CONFIRMED — superconducting photon detectors,2,PASS — find person in Phase 3,
Qutools,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://qutools.com,UNKNOWN,ACTIVE 2025,CONFIRMED — educational and research tools,2,PASS — find person in Phase 3,
